SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523232,CONT.PETRO  ,XT,Q,20.30,21.10,20.30,21.10,21.10,20.10,118,7940,166701.00,
523248,MACHINO PLAS,X ,Q,82.00,82.00,76.30,80.15,78.10,83.45,17,690,55536.00,
523260,PEARL POLYME,B ,Q,15.70,15.75,14.90,15.05,15.05,15.35,25,1001,15270.00,
523261,VENKEY'S (I),A ,Q,1648.00,1658.10,1621.10,1625.95,1625.95,1643.95,363,2556,4183150.00,
523269,ADVANI HOTEL,B ,Q,49.30,52.45,49.30,52.35,52.30,47.70,485,11781,605651.00,
523277,G.V.FILMS   ,XT,Q,0.40,0.40,0.38,0.40,0.40,0.39,99,114431,45102.00,
523283,SUPER HOUSE ,B ,Q,125.45,131.00,125.00,127.05,127.05,125.90,146,2587,330588.00,
523289,RAMA VISION ,X ,Q,6.65,6.65,6.35,6.35,6.35,6.05,10,6781,44943.00,
523301,TCPL PACK   ,B ,Q,383.85,389.85,382.00,382.65,382.65,381.45,15,290,110944.00,
523319,BALMER LAWRI,A ,Q,114.30,115.80,114.10,114.30,114.30,114.75,1306,52500,6026616.00,
523323,KOVAI MEDI. ,X ,Q,1152.25,1152.25,1080.00,1094.15,1094.15,1207.05,1225,22033,24402001.00,
523329,ELDECO HOUS.,X ,Q,2225.00,2225.10,2214.00,2219.95,2214.00,2119.15,146,1922,4275812.00,
523367,DCMSHRIRAM  ,A ,Q,469.50,479.00,461.15,473.55,473.55,471.85,801,10897,5123122.00,
523369,DCM SHR.IND ,X ,Q,202.95,203.95,198.00,199.55,200.00,199.25,216,18830,3759878.00,
523371,MAWANA SUGAR,B ,Q,33.25,35.95,33.25,34.35,34.10,32.80,628,70911,2479023.00,
523373,MINI DIAMOND,XT,Q,3.30,3.30,3.30,3.30,3.30,3.15,6,1301,4293.00,
523384,MAH.RAS.APEX,T ,Q,83.65,83.65,76.00,80.95,81.00,80.00,55,8521,653281.00,
523385,NILKAMAL L  ,A ,Q,1719.90,1985.00,1699.65,1877.40,1877.40,1717.65,5583,41364,78185741.00,
523391,NAHAR POLY  ,B ,Q,94.75,95.00,92.10,92.10,92.10,94.95,91,1750,164894.00,
523395,3M INDIA LTD,A ,Q,20880.70,20904.80,20654.55,20717.60,20760.00,20959.95,86,169,3518707.00,
523398,JCHAC       ,A ,Q,2536.05,2543.05,2500.00,2522.10,2522.10,2527.55,138,531,1342734.00,
523405,JM FINANCIAL,A ,Q,91.00,92.25,89.95,92.00,92.00,91.00,563,89576,8198542.00,
523411,ADCINDIA    ,X ,Q,199.90,205.00,197.50,199.40,197.60,196.10,29,1244,249646.00,
523419,TAMIL.TELE. ,T ,Q,7.59,7.59,7.59,7.59,7.59,7.23,35,23961,181863.00,
523425,SUNRAJ DIAM.,Z ,Q,1.72,1.72,1.64,1.66,1.64,1.72,5,600,1017.00,
523445,REL INDL INF,A ,Q,392.60,395.10,383.05,384.80,384.80,390.15,587,16236,6344800.00,
523449,SHARP INDIA ,X ,Q,28.20,30.00,28.10,28.75,28.75,30.05,22,1109,32302.00,
523457,LINDEINDIA  ,A ,Q,1160.05,1200.00,1147.90,1174.90,1162.10,1150.05,1307,14846,17348265.00,
523465,IND.BANK HSG,B ,Q,44.75,46.00,40.50,40.60,40.60,43.85,127,7560,314149.00,
523475,LOTUS CHOC  ,X ,Q,17.45,17.60,17.45,17.55,17.55,17.45,7,348,6094.00,
523483,PACIFIC IND.,X ,Q,189.85,189.85,181.55,182.45,189.85,172.60,42,6242,1150432.00,
523489,CMM HOSPITAL,XT,Q,11.31,12.40,11.31,12.40,12.40,11.90,6,5061,57558.00,
523519,UNI OFF AUTO,X ,Q,2.90,2.90,2.90,2.90,2.90,2.90,1,24,69.00,
523537,APM INDUS.  ,X ,Q,23.35,24.20,23.30,23.30,23.30,23.75,41,4723,111732.00,
523539,PRECISION WR,B ,Q,182.00,184.10,174.95,178.05,177.20,176.05,433,9179,1658677.00,
523550,KRYPTON IND ,X ,Q,10.70,10.70,9.01,9.80,9.85,9.78,70,2648,25906.00,
523566,MARTIN BURN ,X ,Q,24.20,24.20,22.35,22.55,22.35,23.50,5,200,4507.00,
523574,FEL         ,B ,Q,11.41,11.57,11.20,11.31,11.31,11.70,875,418708,4725495.00,
523586,IND.TONERS  ,X ,Q,126.00,128.50,126.00,127.85,127.95,128.00,41,3418,436230.00,
523594,KUNSTSTOFFE ,X ,Q,18.10,18.10,18.05,18.05,18.05,19.00,4,150,2708.00,
523598,SHIPP.CORPN ,A ,Q,87.80,90.65,86.40,87.50,87.50,86.90,2200,374818,33209470.00,
523606,SIKA INTER. ,X ,Q,334.60,349.90,334.60,341.80,341.80,334.60,98,3568,1228978.00,
523610,ITI LTD.    ,A ,Q,126.00,127.00,123.75,124.75,124.75,125.35,286,17092,2150242.00,
523618,DREDGING COR,A ,Q,300.30,307.80,295.45,297.85,297.85,299.85,1884,28935,8734860.00,
523620,PHARMASIA   ,XT,Q,30.50,30.50,30.50,30.50,30.50,31.95,2,50,1525.00,
523628,PODDAR      ,T ,Q,200.00,200.65,200.00,200.65,200.65,191.10,4,626,125590.00,
523630,NATIONAL FER,A ,Q,42.00,42.00,40.40,40.70,40.40,41.40,356,83616,3424736.00,
523638,IP RINGS LTD,X ,Q,84.00,84.50,81.00,81.95,83.50,83.80,51,4407,361868.00,
523642,PI INDUS.LTD,A ,Q,2229.80,2257.45,2215.20,2224.65,2230.00,2229.80,1103,9295,20827182.00,
523648,PLASTIBLEND ,B ,Q,238.85,239.95,235.00,236.40,235.00,239.65,41,269,63670.00,
523650,REDEX PROTEC,XT,Q,6.47,6.47,6.47,6.47,6.47,6.17,2,105,679.00,
523660,WATERBASE   ,A ,Q,110.00,115.80,110.00,113.80,113.80,119.00,496,28528,3239413.00,
523672,FLEX FOODS  ,X ,Q,78.60,79.00,75.25,76.40,76.15,76.10,101,9460,729115.00,
523676,GOLKUNDA DIA,X ,Q,19.40,19.40,19.40,19.40,19.40,19.45,6,380,7372.00,
